"Frase", Sentimento
"Tem um guri insuport·vel que no status do whats ele vive botando' vou bota meu iPhone pra carregar ' ' meu iPhone caiu no ch„o' PORRA VAI DORMI","tristeza"
"N„o me julguem por n„o ter um iPhone. O meu caiu ao ch„o e partiu-se ok?","tristeza"
"meu iphone caiu no ch„o muito feio hoje l· na escola, meu coraÁ„o faltou sair pela boca #EMABiggestFansJustinBieber","tristeza"
"TÙ super tranquilo, meu iPhone caiu no ch„o quebro atÈ a alma dele.","tristeza"
"meu iphone caiu no chao e saiu rolando, nem doeu meu coraÁao sÛ um pouco #MTVHottest Justin Bieber","tristeza"
"Acho mt engra a galera tiete de iphone MEU DEUS MEU IPHONE CAIU NO CHAO MEU DEUS ELE TA TIRANDO FOTO COM IPHONE MEU DEUS OLHA COMO … GRANDE O IPHONE PQ O IPHONE EH ISSO E AQUILO E BLABLABLA Bixo … sÛ um celular massa etc Pelo amor de deus...........","tristeza"
"Sonhei que meu iPhone caiu no ch„o quebrou a tela toda kkkkk ainda bem que nem tenho iPhone kkk","tristeza"
"Ontem meu iPhone caiu no ch„o de tela pra baixo, manoooo minha alma saiu do meu corpo por uns 5 segundos","tristeza"
"Meu namorado foi filmar uma parte do show, eu tava pulando e gritando que nem uma descontrolada, acertei o braÁo no iPhone dele, caiu no ch„o e eu ainda pisei em cima #Domingou","tristeza"
"o meu celular e mto resistente ontem ele caiu com tudo no chao ainda bateu na parede caiu com o vidro pra baixo e nao sofreu um arranhao da vontade ne iphone 11","tristeza"
"Gente meu iphone X caiu no ch„o","tristeza"
"Vou ter que usar meu iphone 7","tristeza"
"Meu iPhone caiu no ch„o com tudo,meu coraÁ„o foi na boca Kk","tristeza"
"parece a epoca q lanÁou iphone, ngm chamava de celular, sÛ iphone nossa ganhei um iphone meu IphOnE caiu no chao vejam meu iPhOnE!!!!","tristeza"
"a galera tem iphone sÛ pra n falar celular nÈ? kkkk 'peraÌ que vou ligar o meu IPHONE' 'meu IPHONE caiu no ch„o' 'roubaram meu IPHONE' jdudmusjfuef","tristeza"
"se fode aÌ agora com seu IPHONE roubado","tristeza"
"Comprei um celular da Apple e meu compromisso de vida daqui pra frente È N√O trocar a palavra celular por iPhone, como as pessoas q falam 'alcanÁa ali meu iPhone; meu iPhone caiu no ch„o; deixa eu pegar aqui o meu iPhone...' … CELULAR, POXA!","tristeza"
"Pessoas normais : Meu celular caiu no ch„o Pessoas pobres: Meu iPhone caiu no ch„o","tristeza"
"meu iphone caiu no ch„o e a porra da tela do vidro rachou eu estou sentindo como se meu coraÁ„o que tivesse rachado #PremiosMTVMiaw #MTVBRKPOPBTS @BTS_twt","tristeza"
"Vou comprar um iphone mas nao vou falar 'meu iPhone pq È escroto vou falar meu cllr... N„o vou falar meu iPhone.. N„o vou falar meu iPhone.. N„o vou falar meu iPhone.. N„o vou falar meu iPhone... AÌ, meu iPhone caiu no ch„o...","tristeza"
"Pq as pessoas dizem ''meu iphone'' ao invÈs de celular? Tipo: vou por meu iphone pra carregar, meu iphone ta tocando, meu iphone caiu no ch„o, meu iphone ta descarregado..... --'?","tristeza"
"'Ele ligou pro meu iPhone' 'meu iPhone caiu no ch„o' 'anota o n˙mero do meu iPhone'","tristeza"
"#FicoNaBadQuando MEU DEUS, meu iPhone caiu no ch„o sem capa e n„o quebrou. Meu coraÁ„o foi na boca e voltou. Aff","tristeza"
"Acho fei„o quem tem IPhone e ficar falando 'Ou! Pega meu iPhone aÌ' 'Nossa, meu iPhone caiu no ch„o' 'Imagina eu perder meu iPhone?' .....","tristeza"
"Caiu meu iPhone no ch„o e virou em 7 pedaÁo a tela mdkdkdjdkejdkkd torrou","tristeza"
"Meu iphone caiu de cara no ch„o e faleceu. Meu samsung caiu de cara pro ch„o mil vezes e ta vivo. Iphone È igual menino criado com danoninho","tristeza"
"J· notaram que todo pobre adora dizer que tem iPhone, È tipo assim: -meu IPHONE quebrou -meu IPHONE caiu no ch„o -meu IPHONE ta sem credito","tristeza"
"pq a maioria das pessoas q tem iPhone fala 'ai meu iPhone caiu no ch„o ai meu iPhone n quer ligar' more o nome disso eh celular","tristeza"
"Ces n„o conseguem falar a palavra CELULAR? 'Meu Iphone caiu no ch„o' 'meu galaxy pica s24 intraestelar riscou' eu ein..","tristeza"
"Qual a necessidade: 'Meu IPHONE caiu no ch„o' Vou colocar meu IPHONE pra carregar' Meu IPHONE ta com a bateria fraca' ...","tristeza"
"'Meu iPhone caiu no ch„o' 'meu iPhone chegou' queridaaa È CELULAR n precisa dizer iPhone sÛ pra se mostrar","tristeza"
"Caiu meu iPhone no ch„o e quebrou todo o display, todinho. Quero morrer :c","tristeza"
"'Meu iPhone ta sem bateria.', 'Meu iPhone caiu no ch„o.', 'Vou guardar meu iPhone...' USHEEEEE","tristeza"
"Me mato rindo, as pessoas n„o falam 'meu celular caiu no ch„o', tem que falar ' meu iPhone caiu no ch„o","tristeza"
"Tenho raiva de pessoas q 'nossa meu iPhone' 'nossa preciso de tal coisa p meu iPhone' 'aÌ meu iPhone caiu no ch„o' , foda-se vc e seu iPhone","tristeza"
"Desnecess·rio coisa do tipo 'pega meu iPhone' 'meu iPhone t· carregando' 'meu iPhone caiu no ch„o' 'ai, amo o meu iPhone'","tristeza"
"meu iphone caiu de cara no ch„o. Antes de desvirar e ver o estrago, um pequeno filme passou diante dos meus olhos, td o q vivemos juntos...","tristeza"
"@KalyneLima_CSC kkkk acho engraÁado oh.. A pessoa n„o fala meu celular caiu no ch„o, fala meu iPhone caiu no ch„o como se fosse sobrenatural","tristeza"
"Meu iphone caiu no ch„o e eu quase morri infartada. Osh, essa vida de pobre querer ostentar n„o t· f·cil.","tristeza"
"quem tem iphone nunca fala tipo : ah meu celular caiu no chao. quem tem iphone tem tesao em falar : meu IPHONE caiu no chao . afffff maria","tristeza"
"imagina se todo mundo fosse chato que nem gente que tem iphone 'ai caiu meu motorola-wm175-gcfg21b no ch„o'","tristeza"
"Exemplos: 'meu iPhone caiu no ch„o' 'rachou a tela do meu iPhone' 'esse aplicativo sÛ tem pra iPhone'","tristeza"
"'Meu iPhone descarregou' 'meu iPhone caiu no ch„o' 'O fone do meu iPhone n„o funciona' NA VERDADE … UM NOKIA MAIS FALA QUE … UM IPHONE","tristeza"
"meu iPhone caiu no ch„o minha press„o baixou agora","tristeza"
"Qnd uma pessoa tem iphone ela n diz: 'merda meu cel caiu no ch„o' ela diz : ' merda meu iphone caiu no ch„o' ..","tristeza"
"rackel vai ser daquela que fala 'cade meu Iphone?''vou por meu Iphone pra carregar''meu Iphone nao ta carregando''meu Iphone caiu no chao'","tristeza"
"'Ai, perdi meu iPhone', 'Meu iPhone caiu no ch„o', 'Meti meu iPhone no rabo', etc","tristeza"
"De uns 4 anos que eu tenho meu Dsi, ele NUNCA caiu no ch„o. Meu iPhone n„o tem nem um ano, e j· tive que pegar um novo","tristeza"
"Caiu meu iphone no ch„o jurei que tinha trincado mais sÛ arranho a tela , amÈm","tristeza"
"'meu iphone caiu no ch„o' 't„o ligando no meu iphone' 'pega ali meu iphone?' PQ NAO FALA 'CELULAR' DE VEZ DE 'IPHONE'? SABEMOS QUE … RYCA","tristeza"
"Jao n„o precisa ficar falando, meu iPhone caiu no ch„o meu iPhone ta acabando a bateria meu iPhone isso meu iPhone aquilo, para e feio porra","tristeza"
"'ai meu IPhone caiu no ch„o' 'meu IPhone ta sem bateria' 'to tirando foto com meu IPhone' qual a dificuldade de falar MEU CELULAR","tristeza"
"caiu meu iphone no chao ;sss","tristeza"
"Hoje quase morri ... Fui sair do carro e meu iPhone caiu no ch„o ... Meu Deus meu coraÁ„o parou de bater por 5 segundos ...","tristeza"
"acho mt desnecessario qm fala 'ah meu iphone caiu no chao' 'ah meu iphone ta tocando' cara qual a dificuldade de falar celular?","tristeza"
"Pra que nego fica falando 'meu iphone t· acabando a bateria' meu iphone caiu no ch„o 'meu iphone t· carregando' que prazer vcs tem em falar","tristeza"
"Iphone eh celular comum seus troxa pq vcs INSISTEM em ficar falando 'ixi meu iphone caiu no chao' 'tentei enfiar meu iphone no cu e n deu'","tristeza"
"Estava eu conversando com uma menina ai eu falei:'Esses dias meu iphone caiu no ch„o e meu pai quase me matou!' Ela:'Pq vc fla Iphone+","tristeza"
"nossa hoje caiu meu iphone no ch„o DOEU MINHA ALMA :CCC '","tristeza"
"'Meu iphone branco ta incardido' 'ai meu iphone caiu no ch„o' que tal fazer um twitter pra contar as histÛrias do seu iphone fofa?","tristeza"
"… tipo pobre que tem iphone e n tem capacidade de chama-lo de celular. 'Ai meu iphone caiu no chao' 'nossa liga pro meu iphone' PAREM","tristeza"
"ai acabo a bateria do meu iphone, ui meu iphone caiu no ch„o hj, q saco meu iphone t· com febre.. tomara q quebre essa merda logo e vc morra","tristeza"
"eu aqui de boa com o meu IPHONE aÌ de repente meu IPHONE caiu no ch„o, do nada esses IPHONE cai","tristeza"
"@_Evy_g me emocionei tanto de ficar do seu lado q ate caiu meu iphone no chao :c","tristeza"
"'n„o pq meu iphone ta bugado' 'meu iphone caiu no ch„o' 'aaah esse meu iphone' :: CARA VOC S N√O SABEM FALAR M E U C E L U L A R N√O ?","tristeza"
"Kkkkkkkk a diferenÁa simplismente È meu nokia caiu no chaonao se preocupe ele nao quebra meu iphone caiu no chao aiii Meu Deus ele caiu!","tristeza"
"¥¥aff merda, meu iPhone caiu no ch„o, meu mac t· viciado e minha viagem p Londres foi cancelada, ODEIO MINHA VIDA!`` pic.twitter.com/ICDbqSAZlT","tristeza"
"''Ai meu Iphone ta arranhado'' ''ai meu Iphone caiu no ch„o'' ''ai meu iphone descarregou'' Porque n„o fala celular?","tristeza"
"¥¥meu iphone caiu no ch„o,comprei uma capinha pro meu iphone¥¥ SE FOSSE O NOKIA TIJOLAO VC IA FALAR ¥¥MEU CELULAR¥¥ NE VADIA","tristeza"
"'meu iphone caiu no ch„o' 'meu iphone ta vibrando' 'soquei meu iphone no cu' https://pbs.twimg.com/media/BDbLxOPCQAEbDuo.jpg:large†Ö","tristeza"
"ODEIO QUEM FALA ASSIM'' ~> 'COMPREI UM IPHONE, + MEU IPHONE CAIU NO CH√O, E MEU IPHONE … NOVO, AI EU PEGUEI O IPHONE..¨¨' fala celular, fdp","tristeza"
"''ai quero uma capinha pro meu iphone'' ''ai meu iphone caiu no chao'' ''ai pega meu iphone ai pf'' MANO, … UM CELULAR, PQ VCS FALAM IPHONE?","tristeza"
"¥¥ta acabando a bateria do meu iphone¥¥ ¥¥tenho que achar o carregador do meu iphone¥¥ ¥¥meu iphone caiu no chao¥¥ VAI TOMAR NO CU","tristeza"
"'meu iphone ta acabando da bateria, meu iphone caiu no chao, meu.iphone e rosa' Cara pega esse iphone e enfia na bunda","tristeza"
"'``meu iphone descarregou¥¥ ``meu iphone caiu no ch„o¥¥ ``meu iphone tem 7% d bateria¥¥ ta bom, nÛs j· entendemos q vocÍ tem um iphone' THIS","tristeza"
"`` meu iphone quebrou `` `` meu iphone caiu no ch„o `` `` baixei app pro meu iphone `` qual a dificuldade pra pronunciar a palavra celular","tristeza"
"'Vou carregar meu iPhone' 'Meu iPhone caiu no ch„o' ' Meu iPhone peidou' CELULAR MINHA FILHA, APRENDE A ESCREVER/FALAR CELULAR","tristeza"
"``ai vou pegar meu iphone, vou tirar foto com meu iphone, meu iphone caiu no chao, vou colocar musicas no meu iphone`` Velho, para!","tristeza"
"kra ngm quer saber se vc tem iPhone ou n„o ¨¨ ''meu iPhone descarregou'' ''meu iPhone caiu no ch„o'' ''meu iPhone fritou ovo''","tristeza"
"qria conhecer so 1 pessoa q tem um iphone e fala 'meu CELULAR caiu no chao' e n 'meu IPHONE caiu no chao' rsrsrsr","tristeza"
"ai meu iphone caiu no chao, ai meu iphone pulou da cama, ai meu iphone ta sem bateria KCTTTTTT FALA QUE VC TEM UM CELULAR, E N√O UM IPHONE","tristeza"
"''Meu IPhone sÛ ta com 34% de bateria. Meu IPhone caiu no ch„o.Meu IPhone ta tocando.'' QUAL … A DIFICULDADE DA FALAR CELULAR???","tristeza"
"'vou colocar meu iphone pra carregar' 'meu iphone caiu no ch„o' 'tirei foto com meu iphone hoje' diz qual È a dificuldade de falar celular","tristeza"
"'Mimimi, troquei a capinha do meu iphone *-* .... meu iphone caiu no ch„o : ... ain meu iphone...' 'SIM KRA, MAS SEXO Q E BOM NADA N…?'","tristeza"
"Hoje eu percebi a diferenÁa entre: Meu celular caiu no ch„o e meu IPhone caiu no ch„o. Deu atÈ dor no coraÁ„o...","tristeza"
"@maiquim13 Ou, eu estava com meu iPhone na m„o nÈ... Ai meu pai foi brincar comigo, meu iPhone caiu no ch„o e trincou a tela toda! Hahhaa","tristeza"
"Meu iPhone caiu no ch„o, sabem o que aconteceu? isso mesmo, nada pq eu n„o tenho um iPhone","tristeza"
"Hj na escola meu iPhone caiu no ch„o meu quase tive um troÁo pensando que a tela rachou. Mas graÁa a deus n„o aconteceu nada ufa","tristeza"
"HAHAHAHAHAHAAHAHAHAHAAH Caiu meu iPhone no ch„o. Melhor n„o fazer xixi hoje!! #n„oacredito","tristeza"
"CAIU MEU IPHONE NO CH√O MAS AMEM DEUS N√O ACONTECEU NADA","tristeza"
"ai a bateria do meu IPHONE t· acabando / poxa meu IPHONE caiu no ch„o / que droga, meu IPHONE descarregou / VSF VCS","tristeza"
"Meu iPhone caiu no ch„o vi meu mundo acabar hahahah","tristeza"
"'Ai o meu iPhone caiu no ch„o...''Ai eu mandei minha mae ligar meu iPhone ...''Ai meu iPhone comeco a toca...'AI VC E SEU iPHONE VAO SE FUDE","tristeza"
"'Ai meu Iphone caiu no ch„o.. Ai meu Iphone..' Pq vcs n„o falam 'Ai meu celular...' Me poupem com essas frescurinhas","tristeza"
"meu iphone caiu no chao mas ai lembrei que nao tenho um entao ta de boa","tristeza"
"Vei quase meu iphone caiu no ch„o , meu coraÁ„o foi a mil em menos de 3 segundos :","tristeza"
"@rebellobianca @IDIOT_USER meu iPhone eu vou ficar jogando na cara, tipo 'meu iPhone descarregou, meu iPhone caiu no ch„o' etc etc","tristeza"
"@HoldUpDem tem gente que fala 'ai meu iphone caiu no ch„o, meu iphone n„o sei o que'. PORQUE N√O FALA CELULAR? --'","tristeza"
"Santo Deus, meu IPhone caiu no ch„o, meu coraÁ„o parou de bater por alguns instantes. :x","tristeza"
"Caiu meu iphone np ch„o e se espatifou-se... Que dÛ! Mas ta funcionando ainda! kkk","tristeza"
"aah vai tomar no c˙ fdp caiu meu iPhone no ch„o -'- -'-","tristeza"
"pior dia da minha vida???? fico em duvida se foi hj ou quando caiu meu iphone no chao","tristeza"
"quando o dia ta mal, fica bem, acontece o melhor... caiu meu iphone no chao e raxou toda a parte de tr·s :D :D :D :D :D :D :D :D :D","tristeza"
"Huahuahua.... Caiu meu iphone no chao... E todo mundo q estava perto... Noooooooooosssaaaaaa!!! Hahhaa se eu caisse dariam risada...","tristeza"
"O meu iPhone caiu no ch„o e o visor quebrou kkk Pra consertar custa mais caro que o prÛprio iPhone haha. Meu pai me deu esse NeoSmart.","tristeza"
"O meu j· caiu uma vez!!! #Tenso =O RT @jefdantasblog Naoooooooooooo meu iPhone caiu no ch„o, DE NOVO!!!!! =O","tristeza"
"meu iPhone caiu no ch„o logo dividiu em 3, sÛ pra quem conheÁe meu iPhone pra entender kkkk vo despertar como pra escola amanha meeeeu ?","tristeza"
"Ai que droga meu iphone caiu no ch„o, vou doar ele pros pobres agora.","tristeza"
"com muito odio !!!!!!!!!!!! meu iphone caiu no chao por causa da professora e quebrou a tela !!!! meu pai quase me matou","tristeza"
"Meu iPhone caiu no chao , meu Deus to aponto de chorar! Ta todo rachado ! Pita merda --'","tristeza"
"Pqppppppp, meu iPhone caiu no ch„o e meu coraÁ„o foi na boca.. graÁas a Deus n„o aconteceu nada. ufa","tristeza"
"a @gabdacosta_ riiu muito, quando meu 'IPHONE' caiu no chao, eu: aaaaaai nao meu IPHONE caiu, UAHSUHAUHSAUHSUAHUSHAHUSUAHSa","tristeza"
"hoje o meu iPhone caiu no ch„o na hora da aula,pensa no meu desespero? pensa na minha morte na hora mano?? aaaaameu coraÁ„o saiu pela boca!!","tristeza"
"PORRA CAIU MEU IPHONE NO CH√O","tristeza"
"AAAAAAAAAAAAA MEU IPHONE CAIU NO CH√O D: AI MEU DEUS","tristeza"
"HOOOLY SHIIT, caiu meu iPhone no ch„o, uma altura de mais ou menos 1 metro, com o vidro pra baixo e N√O QUEBROU, mas meu coraÁ„o parou haha","tristeza"
"meu irmaojogou a toalha encima da mesa, que acertou no meu iPhone e a toalha caiu no chao levando meu iphone junto. to indo matar ele. brb","tristeza"
"Legal... caiu meu iPhone no ch„o e dessa vez acho que foi pt hahahaha","tristeza"
"@morobertini Droga, meu iphone caiu no chao e quebrou. Nao tem probleema, vou usar meu blackberry ate meu pai comprar o iphone 4 pra mim","tristeza"
"Primeira vez q caiu meu iPhone no ch„o ; vo sai bgbg","tristeza"
"opa ! meu iphone caiu no ch„o, vou pega routro no meu armario, acalmem-se","tristeza"
"Meu iPhone caiu no ch„o e quebrou a tela. Mesmo sendo brega, meu coraÁ„o quebrou junto :'-","tristeza"
"Meu iPhone caiu no ch„o! Q droga! E na rua!!","tristeza"
"Ainn meu iPhone caiu no ch„o hj ; na padaria ;","tristeza"
"a procura de um iphone no ebay. Ps: O meu caiu no ch„o e quebrou!","tristeza"
"Ûtemo! meu iphone caiu no chao e estilhaÁou o visor!","tristeza"
"”timo! Meu iPhone caiu no ch„o e o vidro truncou : alguÈm sabe qto vai custar a bricadeira pra arrumar?","tristeza"
"meu iPhone caiu no ch„o e n„o quer mais dar ·rea em nenhum Chip!!!!! aaaaaaah! #malditaApple","tristeza"
"@jovemnerd pl·stico protetor pra que ? ; Serim. Meu iPhone tem quase 2 anos j· caiu 10x no ch„o e Nao tem sequer 1 risco. na tela. ;","tristeza"
"Esses MP9,10 da vida s„o um lixo. Meu sÛcio comprou um mini-iphone china haha, caiu de leve no ch„o e o touch n„o funciona mais. #chinalixo","tristeza"
"E apos um ano de alegria, meu iPhone caiu no ch„o e ganhou seus primeiros arranhoes na tela... :","tristeza"
"Acho que destrui meu iPhone,ele caiu no ch„o e Ò h· santo que faÁa ele ligar.Se ele Ò voltar a funcionar meu pai me mata ;S","tristeza"
"Nossa! Meu iPhone caiu mais uma vez! Estendendo o lenÁol ele vuou pra cima e caiu no ch„o! : Esse È o mais resistente de todos! [+FATO]","tristeza"
"@gugagomesrio , sÛ agora eu vi sua pergunta. Ent„o, meu iPhone caiu no ch„o e a tela t· estilhaÁada. O conserto ficou para 2a. feira.","tristeza"
"Gosh, meu iPhone caiu pela milÈsima vez no ch„o mas nem quebrou, haha. Provas agora. Estudei muito mas to com medo :","tristeza"
"a tela do meu iPhone trincou depois q ele caiu no ch„o. ser· q eles concertam l· na iDoctor?","tristeza"
"Meu iphone deu seu primeiro salto mortal do meu colo. Pena que caiu de cara no ch„o. Pobre filho, tem que treinar mais.","tristeza"
"Tristeza profunda: meu iPhone 16Gb caiu no ch„o: 1/3 da tela parte inferior n„o funciona mais! Vontade de chorar È grande mas n„o consigo!","tristeza"
"Hoje meu iPhone caiu no ch„o! TÙ puto!","tristeza"
"Caramba meu iphone caiu no chao e fez uma xana no meio da tela... Sacanagem.. Sorte q falta pouco tempo pro 3g","tristeza"
"estraguei o touch do meu  iphone , eu sou burra e eu sei disso","tristeza"
"e N√£o adianta Falar AIN UE SEMPRE CUIDEI DO MEU E ESTRAGOU cuidou meu pau eu Tenho iphone h√° 7 anos e Nunca estraguei UM CABO, ELES lutam Muito mas sempre sobrevivem Porque N√£o submeto ELES uma Esse tipo de Coisa","tristeza"
"TROLLANDO UM UBER & ESTRAGUEI  MEU  IPHONE 7 NOVO!‚ù§ https: // www. youtube.com/watch?v=VGzcvg I0cOU & feature = share  ‚Ä¶","tristeza"
"estraguei  meu  iphone antes do carregador","tristeza"
"Estraguei o meu  iPhone no domingo","tristeza"
"Ninguem Me Quer emprestar hum adaptador de fones p iPhone At√© Segunda E that estraguei o meu","tristeza"
"em menos de 3 meses atr√°s 4 carregadores de iphone , meu pai e pai me quer dar outro","tristeza"
"eu estraguei bicicleta Minha ","tristeza"
"estraguei  meu  IPhone novo","tristeza"
"meu bot√£o de in√≠cio do iphone n√£o est√° funcionando direito pqp eu acho que estraguei  meu celular","tristeza"
"Estraguei  meu fone original do iPhone üò°","tristeza"
"ainda n√£o acredito q estraguei  meu  iphone antigo pq n coloquei ele p","tristeza"
"Quase estraguei  meu  iPhone , vomitando em cima dele. Esse tipo de coment√°rio n√£o √© apenas para mim como causa vergonha alheia.","tristeza"
"Essa fds foi t√£o r√°pida quanto o  meu  iPhone ainda bem q hj ele volta MT zero zero kkkk","tristeza"
"Estraguei  meu  iphone 6 e n√£o consegui usar o 7","tristeza"
"To mt louco e estraguei  meu  iphone üò≠üò≠üò≠üò≠","tristeza"
"Estraguei  meu  iPhone , tive que voltar com meu Android","tristeza"
"Tomei banho de chuva com uma bandeira, quase estraguei  meu  iphone na √°gua, mas que se fodaaaaaaaaaaaaaaa, aqui est√° VASCO KRLLLL FLUMINENC TU √âS MIN√öSCULOOOOOOOOOOOOOO","tristeza"
"Na tropa da maladeza fui d ropa e td pra piscina estraguei  meu  iPhone e voltei pro Samsung pockt carai kkkk","tristeza"
"Estraguei  meu  iPhone , perdi minha carteira !! Ah vai tomar no c√∫ pra l√°","tristeza"
"Eu ainda n√£o sei como voc√™ est√° estragando  meu  Iphone de tanto tomar banho mexendo neleüòÇüòÇ","tristeza"
"Estraguei  meu  iphone e agr estraguei ou samsung q tava quebrando ou galho, continuando: sem celular por tempo indeterminado agr","tristeza"
"Gostei de hum V√≠deo @ YouTube http: // youtu.be/VGzcvgI0cOU?aT ROLLANDO  ‚Ä¶ UM UBER & ESTRAGUEI  MEU  IPHONE 7 NOVO!","tristeza"
"Participa√ß√£o do @ t3ddyyyyy no v√≠deo do @ miticojovem  ","tristeza"
"estraguei  meu  iPhone e estraguei o cel da minha v√≥, meus pais v√£o comer meu cu","tristeza"
"Estraguei  meu  iPhone üëèüëè minha m√£e n vai me do outro para naüí©","tristeza"
"Se algu√©m tiver um celular que n√£o seja o iPhone, ela estraga e fala ' estraguei  meu celular', mas se o iPhone ' estraguei  meu  iPhone '","tristeza"
"n√£o acredito que estraguei  meu  iphone e vou ter que tirar meu v3 rosa da gaveta","tristeza"
"Eu estraguei  meu  iphone ....... Estraguei .......... Meu ........ Iphone .............","tristeza"
"Estraguei  meu  iphone , vo daca na parede dps no lixo ...üò°","tristeza"
"nossa hoje √© minha semana de 'sorte' estraguei  meu  iphone , me roubou meu outro celular e meu net t√° cheio de v√≠rus e t√° l√° no carinha","tristeza"
"ACHO QUE ESTRAGUEI  MEU  IPHONE E PARA QUASE MORRENDO AQUI))))))))))): ACHO QUE ESTRAGUEI  MEU  IPHONE E PARA QUASE MORRENDO AQUI)))))))):","tristeza"
"@ lovesswagbieber N√£o. Eu n√£o como Estraguei  Meu  Iphone Cara. Vou comprar Outro. PQ?","tristeza"
"Acho que estraguei  meu  iPhone , para muito triste, quero abra√ßos :(","tristeza"
"quase estraguei  meu  iphone pq fui tentar conectar pelo cabo do tablet, hahahahahha hilario a minha burrice","tristeza"
"AMD ! EU ACHO QUE ESTRAGUEI  MEU  IPHONE ! KKKKKKKKKKKKKKKKKKKKK Eu a @MinhaDulceMel a @ SophiaChay4Ever tentando arruma ele! KKKKKKK","tristeza"
"to triste estraguei  meu  iphone √© ... eu e minhas proezas.","tristeza"
"Gente, estraguei  meu  Iphone !! BUBUUB","tristeza"
"ESTRAGUEI  MEU  IPHONE , BOA HARDSON !!!","tristeza"
"eu estraguei  meu  iPhone , contei pra vcss? voc√™ vai comprar outro celular (talvez a gal√°xia ou o windows phone) nem voa manda arrumar u_u SKALSAPOSKA","tristeza"
"mas e ai ja falei que estraguei  meu  iphone","tristeza"
"ainda n entendi como estraguei  meu  iphone e menos de 5 meses de uso kkkkkkkkkkkkkkkkkkkkkkkkkkk","tristeza"
"Ganhei um celular ja que estraguei  meu  iphone","tristeza"
"n creio q eu estraguei  meu  iphone .. ALGU√âM ME AJUDA!","tristeza"
"s√©rio. N√£o consigo acreditar que eu estraguei  meu  IPhone .","tristeza"
"Para fechar uma semana com chave de ouro, clique no  meu  Iphone :)","tristeza"
"estraguei  meu  iphone kkkkkkkkkkkkkkkkkk","tristeza"
"e se eu te Falar that estraguei  meu  iphone = (((((((( ((","tristeza"
"Estraguei  meu  iPhone : - Meu pai vai me bater? Meu pai vai me matar! ... Se eu tenho dinheiro? Eu to fudida!","tristeza"
"meu Deus eu estraguei  meu  iPhone 'novo', e levei para o concerto e n√£o teve concerto, meu pai brigou: |","tristeza"
"ta feia a coisa, estraguei  meu  iphone , estraguei ou azbox, falta o pc e queimar a casa .-.","tristeza"
"Sinais de que eu estraguei em algum momento: os √≠cones do dock do iPhone , tem um roxo no meu joelho esquerdo. # medo","tristeza"
"Essa semana eu estraguei minha Tv e meu  Iphone . Se voc√™ √© uma Mulher Bi√¥nica, fique longe de mim!","tristeza"
"@ BellasuperStar poxa eu vou gastar mt olha 15 de maio √© mu niver, vou adicionar um sansung corby ( estraguei  meu  iphone ) meu pai quase me mato","tristeza"
"Ah, como voc√™ est√° estragando  meu  iPhone ?! > <","tristeza"
"Aneim! Acho que estraguei  meu  IPhone !  # Merda !","tristeza"
"Acho que voc√™ est√° estragando o fone do meu  iPhone de novo! Mania de enrolar e colocar no bolso. :(","tristeza"
"acho que estraguei  meu  iphone de vez e meu pai vai me matar: D","tristeza"
"aham, termine de enfiar o fone do meu  iphone dentro do meu copo de √°gua. √≥timo, estraguei","tristeza"
"1 semana atr√°s abri meu √∫ltimo pacote de fone de ouvido, que veio com o iphone . quase estraguei ele agora. :(","tristeza"
"q booooosssstttaaaa !! estraguei ou botao de atravessar uma tela do meu  iphone ... # fail","tristeza"
"Meu pai agora disse que vai pensar se realmente vai me dar no iPhone , j√° que ele acha que eu estraguei  meu celular de prop√≥sito ¬¨¬¨","tristeza"
"Desenvolvedores de iPhone : N√£o tem como alterar o Nome do produto de um projeto no XCode sem validade inv√°lida no projeto? Fiz isso e estraguei um app meu.","tristeza"
"estraguei  meu  iphone )))) ':","tristeza"
"xT- RT: eba, estraguei  meu  Iphone , um salve pra mim !!!! : DDDDDDDDD","tristeza"
"eu falei que estraguei um fone do mp4? mas isso n√£o faz diferen√ßa, em menos de um m√™s eu ganho meu  iphone * - *","tristeza"
"Agora voc√™ n√£o pode usar quase nada com o teclado na paisagem, ser√° q eu sou t√£o frio q ja estraguei o os do meu  iphone ...","tristeza"
"eu estraguei  meu celular inteiro, algu√©m me d√° um iphone um blackberry, hmmmmmmmm eu quero, ent√£o n√£o h√° final do ano: /","tristeza"
"estraguei  o touch do meu iphone , eu sou burra e eu sei disso","tristeza"
"Estraguei  o  iPhone fds","tristeza"
"#NOME?","tristeza"
"mano todo mundo q tem iphone estraga o cabo, eu nunca estraguei .... mas j√° perdi 1 kkkkkkkkkk ai q √≥dio","tristeza"
"Estraguei  o meu iPhone no domingo","tristeza"
"eu estraguei 1 fone so , eu sempre tive iphone desde o 4 n√£o sei como n√£o estraga pq eu uso o celular carregando e o cabo fica todo o torto kkkkkk","tristeza"
"Ninguem Me Quer emprestar hum adaptador de fones p iPhone At√© Segunda E that estraguei  o meu","tristeza"
"estraguei  o  iphone da carol esbarrando nela sem querer ontem e ai caiu no mar, para mim sentindo tri mal","tristeza"
"N√ÉO Acredito QUE J√Å ESTRAGUEI  O  IPHONE FDS NEM H√Å UMA SEMANA O TENHO Ughhh","tristeza"
"Nem acredito que estraguei  o  Iphone","tristeza"
